midiNb	midiNote	octave
24	Do	0
25	Do#	0
26	Re	0
27	Re#	0
28	Mi	0
29	Fa	0
30	Fa#	0
31	Sol	0
32	Sol#	0
33	La	0
34	La#	0
35	Si	0
36	Do	1
37	Do#	1
38	Re	1
39	Re#	1
40	Mi	1
41	Fa	1
42	Fa#	1
43	Sol	1
44	Sol#	1
45	La	1
46	La#	1
47	Si	1
48	Do	2
49	Do#	2
50	Re	2
51	Re#	2
52	Mi	2
53	Fa	2
54	Fa#	2
55	Sol	2
56	Sol#	2
57	La	2
58	La#	2
59	Si	2
60	Do	3
61	Do#	3
62	Re	3
63	Re#	3
64	Mi	3
65	Fa	3
66	Fa#	3
67	Sol	3
68	Sol#	3
69	La	3
70	La#	3
71	Si	3
72	Do	4
73	Do#	4
74	Re	4
75	Re#	4
76	Mi	4
77	Fa	4
78	Fa#	4
79	Sol	4
80	Sol#	4
81	La	4
82	La#	4
83	Si	4
84	Do	5
85	Do#	5
86	Re	5
87	Re#	5
88	Mi	5
89	Fa	5
90	Fa#	5
91	Sol	5
92	Sol#	5
93	La	5
94	La#	5
95	Si	5
96	Do	6
97	Do#	6
98	Re	6
99	Re#	6
100	Mi	6
101	Fa	6
102	Fa#	6
103	Sol	6
104	Sol#	6
105	La	6
106	La#	6
107	Si	6
108	Do	7
109	Do#	7
110	Re	7
111	Re#	7
112	Mi	7
113	Fa	7
114	Fa#	7
115	Sol	7
116	Sol#	7
117	La	7
118	La#	7
119	Si	7
120	Do	8
121	Do#	8
122	Re	8
123	Re#	8
124	Mi	8
125	Fa	8
126	Fa#	8
127	Sol	8
128	Sol#	8
129	La	8
130	La#	8
